"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"215078_at",2.60165102455836,7.13999487850508,5.91434614980414,1.59022695982507e-05,0.35425485984023,-2.86986448816898
"202643_s_at",1.53585360685804,7.28494570726064,5.07097884340496,9.00407599268003e-05,0.968281104619407,-3.09049096073015
"204103_at",2.49259586710187,9.61984456579475,4.76225122980587,0.000173292897075241,0.968281104619407,-3.18343455661206
"205239_at",1.53294747213265,6.55922520683391,4.70555385780278,0.000195627457079249,0.968281104619407,-3.20125051624433
"39402_at",1.03645890464839,7.33306942294746,4.65646268360076,0.000217327536162725,0.968281104619407,-3.21686556443525
"205193_at",1.44459225920337,8.57381170795213,4.41262598772173,0.000367515623475311,0.995594875302776,-3.29703862760344
"210056_at",1.17986281274676,8.63386674937649,4.35449524380671,0.000416814755886584,0.995594875302776,-3.31679467782628
"201631_s_at",1.07014724568367,9.15756668724728,4.32149001706676,0.000447737097115207,0.995594875302776,-3.32812158018726
"202672_s_at",2.79892860328599,9.09302523631539,4.30788663796803,0.000461148978378999,0.995594875302776,-3.33281318253905
"204748_at",1.84387033492619,6.2550617615385,4.25233426551997,0.000520277293272237,0.995594875302776,-3.35211218743673
"212498_at",-0.516656732899889,10.1507438924156,-4.1329334881332,0.00067465367161528,0.995594875302776,-3.3943485218443
"218810_at",0.961612986916072,6.89898039276997,4.12042230285236,0.000693300771553473,0.995594875302776,-3.3988335359038
"205249_at",1.09684901603601,7.62720506515113,4.11599948105933,0.000700016361242134,0.995594875302776,-3.40042170911707
"202768_at",1.64226897034377,8.27745787207047,4.0899721705772,0.000740886594219869,0.995594875302776,-3.40979603624843
"201289_at",1.71528393424034,9.33234226429947,4.05112735130764,0.000806402708596538,0.995594875302776,-3.42387649891431
"206115_at",1.24368579231008,6.12125818334327,4.0468221554019,0.000814014232234983,0.995594875302776,-3.42544362747688
"214056_at",1.42782013906955,7.81251676955089,4.03217216907597,0.000840461365143414,0.995594875302776,-3.43078615550415
"209803_s_at",2.20826832767807,6.76860851259539,4.01854615993383,0.000865836011083273,0.995594875302776,-3.43576884051878
"212657_s_at",1.867209438376,10.4389987922264,3.99754196681425,0.000906469297933254,0.995594875302776,-3.44347509584229
"211699_x_at",1.60358130771973,9.44605406268871,3.95724387870051,0.000989876670364072,0.995594875302776,-3.45834647363781
"36711_at",1.87133878309726,8.84481115848927,3.91560170790706,0.00108418120090184,0.995594875302776,-3.47383226342707
"209458_x_at",1.65382865390634,9.47943300436151,3.90285311844103,0.00111481827634206,0.995594875302776,-3.4785970614407
"221766_s_at",1.00715398206404,10.4690631027333,3.89927234797593,0.00112357877925998,0.995594875302776,-3.47993738227617
"205501_at",-0.377336099550703,4.26373193767144,-3.88221844202669,0.00116625938987447,0.995594875302776,-3.48633287005582
"217414_x_at",1.70447952402061,9.48190492547892,3.8586070172489,0.00122804956763635,0.995594875302776,-3.49522021971443
"201329_s_at",1.15995484824874,9.36071307181107,3.82302093385008,0.00132743415534126,0.995594875302776,-3.50868603819917
"205114_s_at",1.82350163866733,8.5907444043944,3.77248853725462,0.00148255995715106,0.995594875302776,-3.52795302002896
"211976_at",-0.568144089840445,8.66674854157613,-3.76728277362593,0.00149953745445055,0.995594875302776,-3.52994747559787
"210827_s_at",0.810976466028647,8.09015075455362,3.75338911239059,0.00154580682698303,0.995594875302776,-3.53527918980714
"219563_at",-0.910514528182808,7.12255004698912,-3.74797280292912,0.00156422885944294,0.995594875302776,-3.53736113077964
"202637_s_at",0.93055080846419,8.64169818684198,3.7295906733176,0.00162840237851167,0.995594875302776,-3.54444117599912
"201920_at",1.44848939461145,9.58076734677476,3.72437094827578,0.00164709988395096,0.995594875302776,-3.54645560044148
"216243_s_at",0.823219254088685,5.87644068174138,3.70955688045987,0.00170134150896855,0.995594875302776,-3.55218231318857
"216598_s_at",1.91276523804501,9.27892966002563,3.67412290129249,0.0018384284433554,0.995594875302776,-3.56593721389097
"209285_s_at",-0.634431932836983,7.81971048266169,-3.67267418540335,0.00184426198230231,0.995594875302776,-3.56650128333855
"202644_s_at",1.06089886453042,9.25887241346306,3.67209415497223,0.00184660276259607,0.995594875302776,-3.56672716022517
"211745_x_at",1.71936034810769,10.2731248325316,3.6576458243362,0.00190587673867515,0.995594875302776,-3.57236052510091
"206734_at",-0.550336737294547,6.38952912623843,-3.62773282326607,0.0020346919853985,0.995594875302776,-3.58406516743484
"212856_at",1.13981819726751,8.68871657644321,3.58996411128958,0.00220979569794532,0.995594875302776,-3.59892286795406
"201939_at",1.26305885385852,9.06948939077468,3.57850085373654,0.00226585157206442,0.995594875302776,-3.60344961853567
"213839_at",-0.783537434894466,8.17129904702744,-3.57020942023248,0.00230727668861377,0.995594875302776,-3.60672880080617
