"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"200750_s_at",0.0602904434595963,11.6513833300651,0.315858301041052,0.754220914207621,0.938547667142586,-6.5265893528764
"207242_s_at",-0.0181628730662515,4.32344919196136,-0.315838589081,0.754235734417733,0.938547667142586,-6.52659563654822
"219661_at",-0.0269558745783218,5.99924794526995,-0.315814013461155,0.754254211447394,0.938547667142586,-6.5266034700855
"208578_at",-0.02489160988846,4.32519177697502,-0.315760419329558,0.754294506379576,0.938547667142586,-6.52662055124207
"216529_at",0.0202470441642979,3.86166869288566,0.315594716870992,0.754419094780501,0.938547667142586,-6.52667334458307
"206514_s_at",-0.0526480739040025,9.60213466670151,-0.315558859213153,0.754446056326538,0.938547667142586,-6.52668476532573
"218132_s_at",0.0245505836721271,8.46542598639732,0.315515944834162,0.754478324267896,0.938547667142586,-6.52669843195475
"201514_s_at",0.0491221367067478,8.71893564505096,0.315373227310442,0.754585638868246,0.938547667142586,-6.52674386888045
"206676_at",-0.0504667569108728,4.51445641425746,-0.315342775816965,0.754608537119212,0.938547667142586,-6.52675356106748
"209052_s_at",0.0191079816711071,4.60774026218204,0.315280181335527,0.754655606264782,0.938547667142586,-6.52677348089518
"210771_at",0.0308248772080848,4.98045074411217,0.3151987744174,0.754716823220095,0.938547667142586,-6.52679938164328
"208373_s_at",0.0245770913189371,5.49747083108995,0.315160374308726,0.754745700168892,0.938547667142586,-6.52681159686766
"204692_at",0.0324529520565608,6.94735410762019,0.315104569132274,0.754787666400019,0.938547667142586,-6.52682934607626
"203713_s_at",-0.0498804983427616,6.9792320647627,-0.315027285375973,0.754845786061239,0.938547667142586,-6.5268539215336
"211558_s_at",-0.0467970451551381,7.64791590356136,-0.315015767423821,0.754854448025199,0.938547667142586,-6.52685758361375
"216468_s_at",-0.0256029569861038,4.03032870315291,-0.314968765311046,0.75488979584245,0.938547667142586,-6.52687252634127
"207510_at",-0.0225765767952755,4.60419415681248,-0.314957201000902,0.754898492834495,0.938547667142586,-6.52687620248188
"212935_at",-0.0258747808622743,6.30420346747364,-0.31495692885508,0.754898697503391,0.938547667142586,-6.5268762889918
"209714_s_at",-0.105588553707662,5.63946601286503,-0.314845109007339,0.754982793816949,0.938547667142586,-6.5269118280884
"201797_s_at",-0.0512630495396857,6.83803375205707,-0.314836633206925,0.7549891683334,0.938547667142586,-6.52691452139493
"213085_s_at",0.10049014037699,7.87255293298065,0.314781139327494,0.755030904841463,0.938547667142586,-6.52693215358724
"220900_at",0.0143259072401878,3.59791429475486,0.314692551675206,0.755097532468994,0.938547667142586,-6.52696029433727
"201437_s_at",0.0620453090008581,9.92022332376268,0.31457607039668,0.755185142070214,0.938547667142586,-6.5269972837992
"213325_at",-0.0496463932128179,9.1304525298164,-0.314558472115359,0.755198378633944,0.938547667142586,-6.52700287107608
"219700_at",0.0142824959302499,3.96083264354314,0.314536441587327,0.75521494902244,0.938547667142586,-6.52700986510887
"202990_at",-0.0522448944173455,9.81366656330757,-0.314522199127889,0.755225661633181,0.938547667142586,-6.52701438640413
"218275_at",-0.0425827412467967,7.60873962342027,-0.31449025953922,0.755249685499204,0.938547667142586,-6.52702452494645
"201721_s_at",0.0564398019727363,10.4258348717735,0.314437144552842,0.755289637324781,0.938547667142586,-6.52704138290278
"206859_s_at",-0.0271568906362614,4.84718057009073,-0.314296212144148,0.755395646647556,0.938547667142586,-6.52708609917318
"213379_at",-0.0359362404253165,9.23906962300336,-0.31424494142436,0.755434213668877,0.938547667142586,-6.52710236185583
"205344_at",0.0266833104318218,5.26138340273666,0.314228910912326,0.75544627232202,0.938547667142586,-6.52710744607148
"203809_s_at",0.0233478094354114,4.6099940914727,0.314227321708015,0.755447467774673,0.938547667142586,-6.52710795008734
"216202_s_at",0.0809390092134006,6.18470424586333,0.314192582077383,0.755473600240592,0.938547667142586,-6.52711896712221
"210471_s_at",-0.025417577587362,5.370350204692,-0.314158883374203,0.755498949961878,0.938547667142586,-6.52712965288972
"203832_at",-0.0366518617120928,10.8329428376929,-0.314115608120737,0.755531504011671,0.938547667142586,-6.5271433736852
"221439_at",0.0269698138913244,4.68793074963854,0.314034202517158,0.755592743062917,0.938571402766398,-6.52716917895079
"203570_at",-0.0342309184957594,4.97872829194463,-0.313908417271197,0.755687370786526,0.93860923838409,-6.52720903932637
"203773_x_at",-0.0399728988649608,7.80010315834747,-0.313881701332995,0.755707469572072,0.93860923838409,-6.52721750335859
"205907_s_at",0.0662173085142435,5.58149096019264,0.313455980014968,0.756027769248531,0.938895253785341,-6.52735228203544
"209064_x_at",-0.0480809507834294,8.9259013992141,-0.313423526365578,0.75605218818488,0.938895253785341,-6.5273625490474
"221002_s_at",0.0310217044385706,8.22368054362507,0.313388351558644,0.756078654876735,0.938895253785341,-6.52737367572991
"206086_x_at",0.0242345783867881,5.47859008136047,0.313351562824659,0.75610633626202,0.938895253785341,-6.52738531161095
"209318_x_at",0.0449743180665134,5.39180879095991,0.313043904967193,0.756337843779045,0.939130379904452,-6.52748256734707
"216502_at",0.0224090763222611,4.39395048840764,0.312972870357974,0.756391299424109,0.939144408497987,-6.52750500907314
"200722_s_at",-0.0579202865564801,6.00615794916037,-0.312825534261844,0.756502178093697,0.939203614227396,-6.52755154033927
"208754_s_at",-0.0492901392634977,8.90350361452365,-0.312773877865654,0.756541053671949,0.939203614227396,-6.52756784916079
"220849_at",0.0314188962373603,5.79379450653325,0.312741441843668,0.756565464708471,0.939203614227396,-6.52757808840859
"210140_at",-0.0585843885182111,6.69168779475866,-0.312666684435688,0.756621727381189,0.939221120075267,-6.52760168345019
"200810_s_at",0.0534592543510186,10.5420194111686,0.312492468402812,0.756752848194848,0.939265298491459,-6.52765664801719
"204282_s_at",0.0337301841087942,8.26510148000271,0.312475417530274,0.75676568164653,0.939265298491459,-6.52766202587426
"219755_at",-0.0170929564994848,5.50054903119702,-0.312451337398133,0.756783805836657,0.939265298491459,-6.52766962026803
"210035_s_at",0.0189245923662629,4.09295201314277,0.312387559397026,0.756831809765188,0.93927254741722,-6.52768973176872
"213587_s_at",-0.0690333621676817,8.79531726201268,-0.312233515240598,0.756947758578178,0.939364114414019,-6.52773829061328
"222057_at",-0.0312952258442039,5.8189352057505,-0.31207704428878,0.75706553991125,0.93945794522075,-6.5277875900848
