"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"218345_at",-0.25931671916522,11.6909207643341,-1.92012688778596,0.0617910107725556,0.302531504830818,-4.75779329115637
"218480_at",-0.14430744616486,6.13475449489574,-1.91984332245533,0.0618278824127013,0.30264551450401,-4.75829342126151
"209782_s_at",-0.156636042423223,4.81857988279229,-1.91963494342831,0.0618549897045783,0.302711688411443,-4.75866090454374
"207153_s_at",-0.163583461849893,6.7173598186429,-1.91896348373217,0.0619424069000871,0.30307291862799,-4.75984482010532
"203722_at",-0.230970378182677,10.252269850907,-1.91832817147521,0.0620252156263522,0.303411446751921,-4.76096468334041
"213690_s_at",0.183703826869558,6.70826484397475,1.91815719894941,0.0620475169677388,0.303453904608192,-4.76126600346937
"214707_x_at",0.287687098689363,8.00799235770145,1.91764637091458,0.0621141894149057,0.303668743018457,-4.7621661481317
"205425_at",-0.220335234318498,6.42965994419158,-1.91761176632436,0.0621187081714374,0.303668743018457,-4.76222711865236
"208688_x_at",-0.221298187663393,9.69928955735792,-1.91733804454914,0.0621544614029296,0.303776861929149,-4.76270936226463
"217286_s_at",-0.175523122072246,7.95501958764536,-1.91688739508633,0.0622133631796213,0.303970886455111,-4.76350319264399
"217849_s_at",-0.25043137703809,6.51395066309839,-1.91675126179077,0.0622311657851758,0.303970886455111,-4.76374296432812
"215486_at",0.0901393361184279,4.05923077476884,1.91672121967691,0.0622350950811044,0.303970886455111,-4.76379587561862
"209076_s_at",-0.134908271936686,10.3747049952892,-1.91540300253657,0.0624077181749712,0.30474720249536,-4.76611688903364
"210303_at",0.0994338781945006,3.59788808442507,1.91505481178634,0.0624533829160935,0.304834406761442,-4.76672973406762
"203242_s_at",0.223180066504966,7.25540218611637,1.91497862577077,0.0624633784271712,0.304834406761442,-4.7668638154996
"206340_at",-0.195716752960173,11.5629944715245,-1.91495386144474,0.0624666277715125,0.304834406761442,-4.76690739782112
"222358_x_at",0.157368010448733,6.35959016455479,1.91479867445834,0.0624869932631909,0.304851662052053,-4.76718049810788
"212980_at",-0.32952924142349,5.4757728554273,-1.91471837838857,0.0624975329080095,0.304851662052053,-4.7673217970497
"218574_s_at",0.284215319852978,7.28598341955548,1.91448620905596,0.0625280159796981,0.304933584058611,-4.76773032329846
"218877_s_at",0.227137540168803,10.1257357367428,1.91398120844063,0.0625943649241046,0.305175707671413,-4.76861878230134
"220416_at",-0.218408540454537,5.47431260670779,-1.91389982682019,0.0626050628028172,0.305175707671413,-4.7687619405644
"217043_s_at",-0.192838741715703,7.80519981801097,-1.91346562519775,0.0626621665123827,0.305387242046893,-4.7695256581827
